"Abbot",5.5157114264,54.7073670159,10.4043000000,1737400.0,C
"Abel",-34.4365372844,85.4191847678,119.4370000000,1737400.0,C
"Tiling",-52.9059642528,226.8524033223,38.2300000000,1737400.0,C
"Abenezra",-21.0078405096,11.8763800960,43.1887000000,1737400.0,C
"Perepelkin P",-12.4460507308,127.2385632171,23.4780000000,1737400.0,C
"Ryder",-44.5708262863,143.7000313551,16.7052000000,1737400.0,C
"Bi Sheng",78.3370915184,148.3623439756,55.2710000000,1737400.0,C
"Cai Lun",80.0451471760,113.8234534033,42.8196000000,1737400.0,C
"Zhang Yuzhe",-69.0159187003,222.2819193805,36.9200000000,1737400.0,C
"Abbe",-57.4612682248,174.8392144576,63.9760000000,1737400.0,C
"Abetti",20.1127273643,27.8157242753,1.5987900000,1737400.0,C
"Abul Wáfa",1.0125251149,116.6520596253,54.1787000000,1737400.0,C
"Abulfeda",-13.8650869926,13.8971471593,62.2345000000,1737400.0,C
"Acosta",-5.6450733411,60.1145828297,12.7252000000,1737400.0,C
"Adams",-31.8559422541,68.3369328542,63.2702000000,1737400.0,C
"Agatharchides",-19.8537009804,328.8853814399,51.9832000000,1737400.0,C
"Agrippa",4.0773637373,10.4669963132,43.7467000000,1737400.0,C
"Airy",-18.1630431641,5.5791660686,38.8999000000,1737400.0,C
"Aitken",-16.6550609145,173.2489050675,137.9440000000,1737400.0,C
"Akis",19.9983700121,328.2358410176,2.2817900000,1737400.0,C
"Al-Bakri",14.3330126839,20.2379725448,12.2124000000,1737400.0,C
"Al-Biruni",18.0824165938,92.4943980635,76.1632000000,1737400.0,C
"Al-Khwarizmi",7.0876267860,107.1219918650,58.5460000000,1737400.0,C
"Al-Marrakushi",-10.4800507911,55.7417127456,8.5653500000,1737400.0,C
"Alan",-10.9450981928,353.7787949610,1.7629100000,1737400.0,C
"Albategnius",-11.1971953962,3.9592284301,130.8400000000,1737400.0,C
"Alden",-23.5084011266,111.1141339010,111.4370000000,1737400.0,C
"Alder",-48.6209858785,182.1360199145,82.0000000000,1737400.0,C
"Aldrin",1.4003910818,22.0985757923,3.8826200000,1737400.0,C
"Alekhin",-67.9342147546,227.9706411576,74.8167000000,1737400.0,C
"Alexander",40.2126718854,13.6102852027,93.2380000000,1737400.0,C
"Alfraganus",-5.4359378747,18.9492018450,20.5207000000,1737400.0,C
"Alhazen",15.8288280144,71.7223474154,35.7866000000,1737400.0,C
"Aliacensis",-30.6237470294,5.0665220219,79.6473000000,1737400.0,C
"Almanon",-16.8450281531,15.1350762326,47.7583000000,1737400.0,C
"Aloha",29.7735731923,306.1406353418,2.5479600000,1737400.0,C
"Alpetragius",-16.0527313770,355.4491498866,40.0233000000,1737400.0,C
"Alphonsus",-13.3807981846,357.1037590848,110.5400000000,1737400.0,C
"Alter",18.7115356370,252.1174360556,64.7330000000,1737400.0,C
"Ameghino",3.2899349240,57.0346292400,9.1956200000,1737400.0,C
"Amici",-9.9549590121,188.0156883596,52.0325000000,1737400.0,C
"Ammonius",-8.5328167564,359.1358993362,8.5519400000,1737400.0,C
"Amontons",-5.3530166454,46.7609980208,2.8404800000,1737400.0,C
"Amundsen",-84.4397954420,83.0691495400,103.3950000000,1737400.0,C
"Anaxagoras",73.4595683967,349.9434417612,50.9923000000,1737400.0,C
"Anaximander",66.9670764411,308.5583169317,68.7114000000,1737400.0,C
"Anaximenes",72.4602965952,315.0174977768,81.1167000000,1737400.0,C
"Anders",-41.3359802403,216.6585511582,41.3265000000,1737400.0,C
"Anderson",15.7277273521,170.8799053112,105.3280000000,1737400.0,C
"Andersson",-49.9711687997,264.4991723781,13.4195000000,1737400.0,C
"Andronov",-22.7758741242,146.3104689965,16.5674000000,1737400.0,C
"Anděl",-10.4141284580,12.3549001616,32.9312000000,1737400.0,C
"Ango",20.4561307381,327.6608591763,0.8707720000,1737400.0,C
"Angström",29.8956843506,318.3325650605,9.5501200000,1737400.0,C
"Ann",25.0880268897,359.9281294163,2.1188700000,1737400.0,C
"Annegrit",29.4130093396,334.3563991361,1.2860400000,1737400.0,C
"Ansgarius",-12.9441052654,79.6924280331,94.6033000000,1737400.0,C
"Antoniadi",-69.2312586729,186.9415237233,137.9170000000,1737400.0,C
"Anuchin",-48.8477444968,101.6271648167,61.3440000000,1737400.0,C
"Anville",1.8689763944,49.5079956544,10.2573000000,1737400.0,C
"Apianus",-27.0481864283,7.7825719823,63.4398000000,1737400.0,C
"Apollo",-36.0145824938,208.5222730098,524.2320000000,1737400.0,C
"Apollonius",4.5816638052,60.8557234991,50.6614000000,1737400.0,C
