"Abbot",5.5157114264,54.7073670159,10.4043000000
"Abel",-34.4365372844,85.4191847678,119.4370000000
"Tiling",-52.9059642528,226.8524033223,38.2300000000
"Abenezra",-21.0078405096,11.8763800960,43.1887000000
"Perepelkin P",-12.4460507308,127.2385632171,23.4780000000
"Ryder",-44.5708262863,143.7000313551,16.7052000000
"Bi Sheng",78.3370915184,148.3623439756,55.2710000000
"Cai Lun",80.0451471760,113.8234534033,42.8196000000
"Zhang Yuzhe",-69.0159187003,222.2819193805,36.9200000000
"Abbe",-57.4612682248,174.8392144576,63.9760000000
"Abetti",20.1127273643,27.8157242753,1.5987900000
"Abul Wáfa",1.0125251149,116.6520596253,54.1787000000
"Abulfeda",-13.8650869926,13.8971471593,62.2345000000
"Acosta",-5.6450733411,60.1145828297,12.7252000000
"Adams",-31.8559422541,68.3369328542,63.2702000000
"Agatharchides",-19.8537009804,328.8853814399,51.9832000000
"Agrippa",4.0773637373,10.4669963132,43.7467000000
"Airy",-18.1630431641,5.5791660686,38.8999000000
"Aitken",-16.6550609145,173.2489050675,137.9440000000
"Akis",19.9983700121,328.2358410176,2.2817900000
"Al-Bakri",14.3330126839,20.2379725448,12.2124000000
"Al-Biruni",18.0824165938,92.4943980635,76.1632000000
"Al-Khwarizmi",7.0876267860,107.1219918650,58.5460000000
"Al-Marrakushi",-10.4800507911,55.7417127456,8.5653500000
"Alan",-10.9450981928,353.7787949610,1.7629100000
"Albategnius",-11.1971953962,3.9592284301,130.8400000000
"Alden",-23.5084011266,111.1141339010,111.4370000000
"Alder",-48.6209858785,182.1360199145,82.0000000000
"Aldrin",1.4003910818,22.0985757923,3.8826200000
"Alekhin",-67.9342147546,227.9706411576,74.8167000000
"Alexander",40.2126718854,13.6102852027,93.2380000000
"Alfraganus",-5.4359378747,18.9492018450,20.5207000000
"Alhazen",15.8288280144,71.7223474154,35.7866000000
"Aliacensis",-30.6237470294,5.0665220219,79.6473000000
"Almanon",-16.8450281531,15.1350762326,47.7583000000
"Aloha",29.7735731923,306.1406353418,2.5479600000
"Alpetragius",-16.0527313770,355.4491498866,40.0233000000
"Alphonsus",-13.3807981846,357.1037590848,110.5400000000
"Alter",18.7115356370,252.1174360556,64.7330000000
"Ameghino",3.2899349240,57.0346292400,9.1956200000
"Amici",-9.9549590121,188.0156883596,52.0325000000
"Ammonius",-8.5328167564,359.1358993362,8.5519400000
"Amontons",-5.3530166454,46.7609980208,2.8404800000
"Amundsen",-84.4397954420,83.0691495400,103.3950000000
"Anaxagoras",73.4595683967,349.9434417612,50.9923000000
"Anaximander",66.9670764411,308.5583169317,68.7114000000
"Anaximenes",72.4602965952,315.0174977768,81.1167000000
"Anders",-41.3359802403,216.6585511582,41.3265000000
"Anderson",15.7277273521,170.8799053112,105.3280000000
"Andersson",-49.9711687997,264.4991723781,13.4195000000
"Andronov",-22.7758741242,146.3104689965,16.5674000000
"Anděl",-10.4141284580,12.3549001616,32.9312000000
"Ango",20.4561307381,327.6608591763,0.8707720000
"Angström",29.8956843506,318.3325650605,9.5501200000
"Ann",25.0880268897,359.9281294163,2.1188700000
"Annegrit",29.4130093396,334.3563991361,1.2860400000
"Ansgarius",-12.9441052654,79.6924280331,94.6033000000
"Antoniadi",-69.2312586729,186.9415237233,137.9170000000
"Anuchin",-48.8477444968,101.6271648167,61.3440000000
"Anville",1.8689763944,49.5079956544,10.2573000000
"Apianus",-27.0481864283,7.7825719823,63.4398000000
"Apollo",-36.0145824938,208.5222730098,524.2320000000
"Apollonius",4.5816638052,60.8557234991,50.6614000000
"Appleton",37.0682898385,158.0561867558,64.5910000000
"Arago",6.1487057366,21.4261036202,25.5090000000
"Aratus",23.5632516302,4.5034069863,10.2330000000
"Archimedes",29.7100927274,356.0069060829,81.0417000000
"Archytas",58.8221323764,4.9948197724,31.3524000000
"Argelander",-16.5492895792,5.7689812037,33.7160000000
"Ariadaeus",4.5281714742,17.2584316260,10.4010000000
"Aristarchus",23.7423744888,312.5027364376,39.9945000000
"Aristillus",33.8439886417,1.2022316350,54.9922000000
"Aristoteles",50.2216344904,17.3200315754,87.5669000000
"Armiński",-16.6294619614,153.8551269049,24.7041000000
"Armstrong",1.3558969234,24.9413338204,4.2144800000
"Arnold",67.0197074531,35.8169342399,93.1332000000
"Arrhenius",-55.5694175951,268.5748933574,40.9300000000
"Artamonov",25.4458013743,103.7139372622,62.4458000000
"Artemis",25.0243053313,334.6448139265,2.2815600000
"Artem'ev",10.3953061736,214.7778307722,66.3910000000
"Artsimovich",27.5996668946,323.3612079975,7.9595600000
"Aryabhata",6.2027997487,35.1732611314,21.8898000000
"Arzachel",-18.2714599846,358.0125289309,96.9880000000
"Asada",7.2217409435,49.8767160304,13.1514000000
"Asclepi",-55.2256105471,25.5231240806,40.5625000000
"Ashbrook",-81.1042781490,249.4249972790,157.6800000000
"Aston",32.8051369994,272.2993058493,49.3883000000
"Atlas",46.6688065073,44.3395654076,87.2257000000
"Atwood",-5.8698846804,57.7357568329,28.6444000000
"Autolycus",30.6756788201,1.4858335169,38.8787000000
"Auwers",15.0270953038,17.1665899417,19.6421000000
"Auzout",10.1673903029,63.9473102296,32.9210000000
"Avery",-1.2981202404,81.3500218962,10.7297000000
"Avicenna",39.6408715832,262.7957700153,81.9771000000
"Avogadro",63.3565696626,165.3882762328,129.8400000000
"Azophi",-22.2120628535,12.6672250138,47.5411000000
"Baade",-44.7709966847,277.9939847396,57.8506000000
"Babakin",-20.8150068441,123.2158621652,19.1525000000
"Babbage",59.5623298967,302.6169381950,146.5580000000
